phone_price,phone_name,phone_parameter_url,phone_brand,phone_info,phone_size,phone_x,phone_y
4998,vivo nex 3s（8gb/256gb/全网通/5g版） ,http://detail.zol.com.cn/1314/1313064/param.shtml,vivo手机,"2256x1080像素, 6.89英寸, 4500mAh, 8GB, 1600万像素升降式摄像头, 6400万像素主摄+1300万像素超广角/微距+1300万像素长焦, 高通 骁龙865+X55芯片, ",6.89,1080,2256
2799,苹果iphone 7 plus（全网通） ,http://detail.zol.com.cn/1105/1104332/param.shtml,苹果手机,"1920x1080像素, 5.5英寸, 2900mAh, 3GB, 700万像素, 双1200万像素, 苹果 A10+M10协处理器, ",5.5,1080,1920
1099,oppo k1（4gb ram/全网通） ,http://detail.zol.com.cn/1234/1233423/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3600mAh, 4GB, 2500万像素, 1600万像素+200万像素, 高通 骁龙660AIE, ",6.4,1080,2340
948,vivo z3（4gb ram/全网通） ,http://detail.zol.com.cn/1234/1233833/param.shtml,vivo手机,"2280x1080像素, 6.3英寸, 3315mAh, 4GB, 双核1200万像素, 1600万像素+200万像素, 高通 骁龙670AIE, ",6.3,1080,2280
2899,锤子科技坚果pro 3（8gb/256gb/全网通） ,http://detail.zol.com.cn/1299/1298843/param.shtml,锤子科技手机,"2340x1080像素, 6.39英寸, 4000mAh, 8GB, 2000万像素, 4800万像素主摄像头+1300万像素超广角镜头+800万像素两倍光学变焦镜头+500万像素超微距镜头, 高通 骁龙855 Plus, ",6.39,1080,2340
899,荣耀play3e（3gb/64gb/全网通） ,http://detail.zol.com.cn/1294/1293200/param.shtml,荣耀手机,"1560x720像素, 5.71英寸, 3020mAh, 3GB, 500万像素, 1300万像素, 联发科 MT6762R, ",5.71,720,1560
3799,努比亚红魔5g（8gb/128gb/全网通/5g版） ,http://detail.zol.com.cn/1308/1307256/param.shtml,努比亚手机,"2340x1080像素, 6.65英寸, 4500mAh, 8GB, 800万像素, 6400万像素镜头+800万像素超广角镜头+200万微距镜头, 高通 骁龙865, ",6.65,1080,2340
1399,华为畅享10 plus（4gb/128gb/全网通） ,http://detail.zol.com.cn/1291/1290790/param.shtml,华为手机,"2340x1080像素, 6.59英寸, 4000mAh, 4GB, 1600万像素, 4800万像素广角+800万像素超广角+200万像素景深, 海思 麒麟 710F, ",6.59,1080,2340
1599,redmi note 8 pro（8gb/128gb/全网通） ,http://detail.zol.com.cn/1291/1290607/param.shtml,红米手机,"2340x1080像素, 6.53英寸, 4500mAh, 8GB, 2000万像素, 6400万像素主摄像头+800万像素超广角镜头+200万像素微距镜头+200万像素景深镜头, 联发科 Helio G90T, ",6.53,1080,2340
3699,华为mate30（6gb/128gb/全网通） ,http://detail.zol.com.cn/1294/1293875/param.shtml,华为手机,"2340x1080像素, 6.62英寸, 4200mAh, 6GB, 2400万像素, 4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头, 海思 麒麟 990, ",6.62,1080,2340
2599,华为nova 5（8gb/128gb全网通） ,http://detail.zol.com.cn/1274/1273758/param.shtml,华为手机,"2340x1080像素, 6.39英寸, 3500mAh, 8GB, 3200万像素, 4800万像素+1600万像素+200万像素+200万像素, 海思 麒麟 810, ",6.39,1080,2340
2999,oppo reno2（8gb/128gb/全网通） ,http://detail.zol.com.cn/1289/1288887/param.shtml,OPPO手机,"2400x1080像素, 6.5英寸, 4000mAh, 8GB, 1600万像素, 4800万像素主摄镜头+1300万像素长焦镜头+800万像素超广角镜头+200万像素黑白风格镜头, 高通 骁龙730G, ",6.5,1080,2400
1299,oppo a11（4gb/128gb/全网通） ,http://detail.zol.com.cn/1296/1295487/param.shtml,OPPO手机,"1600x720像素, 6.5英寸, 5000mAh, 4GB, 800万像素, 1200万像素主镜头+800万像素超广角镜头+200万像素镜头+200万像素镜头, 高通 骁龙665, ",6.5,720,1600
599,朵唯d1（3gb/32gb/全网通） ,http://detail.zol.com.cn/1271/1270696/param.shtml,朵唯手机,"1520x720像素, 6.2英寸, 3GB, 500万像素, 1300万像素+30万像素, 联发科 MT6763, ",6.2,720,1520
1099,荣耀8x（6gb ram/全网通） ,http://detail.zol.com.cn/1231/1230668/param.shtml,荣耀手机,"2340x1080像素, 6.5英寸, 3750mAh, 6GB, 1600万像素, 2000万像素+200万像素, 海思 麒麟 710, ",6.5,1080,2340
999,华为畅享9（4gb ram/全网通） ,http://detail.zol.com.cn/1246/1245419/param.shtml,华为手机,"1520x720像素, 6.26英寸, 4000mAh, 4GB, 800万像素, 1300万像素+200万像素, 高通 骁龙450, ",6.26,720,1520
0,小米8 pro（全网通） ,http://detail.zol.com.cn/1264/1263242/param.shtml,小米手机,"2248x1080像素, 6.21英寸, 3000mAh, 6GB, 2000万像素, 1200万像素+1200万像素, 高通 骁龙845, ",6.21,1080,2248
2299,黑莓keyone（4gb ram/精英版/全网通） ,http://detail.zol.com.cn/1207/1206749/param.shtml,黑莓手机,"1620x1080像素, 4.5英寸, 3505mAh, 4GB, 800万像素, 1200万像素, 高通 骁龙625（MSM8953）, ",4.5,1080,1620
6299,lg v30s+（全网通） ,http://detail.zol.com.cn/1209/1208382/param.shtml,LG手机,"2880x1440像素, 6英寸, 3300mAh, 6GB, 500万像素, 高通 骁龙835（MSM8998）, ",6.0,1440,2880
0,魅族魅蓝note 9（全网通） ,http://detail.zol.com.cn/1259/1258784/param.shtml,魅族手机,"2244x1080像素, 6.2英寸, 3900mAh, 6GB, 2000万像素, 4800万像素+500万像素, 高通 骁龙675, ",6.2,1080,2244
1799,荣耀9x（6gb/128gb/全网通） ,http://detail.zol.com.cn/1285/1284833/param.shtml,荣耀手机,"2340x1080像素, 6.59英寸, 4000mAh, 6GB, 1600万像素, 4800万像素+200万像素, 海思 麒麟 810, ",6.59,1080,2340
1699,华为畅享10 plus（6gb/128gb/全网通） ,http://detail.zol.com.cn/1292/1291507/param.shtml,华为手机,"2340x1080像素, 6.59英寸, 4000mAh, 6GB, 1600万像素, 4800万像素广角+800万像素超广角+200万像素景深, 海思 麒麟 710F, ",6.59,1080,2340
1405,荣耀v10（4gb ram/全网通） ,http://detail.zol.com.cn/1182/1181907/param.shtml,荣耀手机,"2160x1080像素, 5.99英寸, 3750mAh, 4GB, 1300万像素, 2000万像素+1600万像素, 海思 麒麟 970, ",5.99,1080,2160
4498,vivo nex 3（8gb/128gb/全网通） ,http://detail.zol.com.cn/1286/1285391/param.shtml,vivo手机,"2256x1080像素, 6.89英寸, 4500mAh, 8GB, 1600万像素, 6400万像素主摄+1300万像素超广角/微距+1300万像素长焦, 高通 骁龙855 Plus, ",6.89,1080,2256
3488,华为p20 pro（6gb ram/全网通） ,http://detail.zol.com.cn/1208/1207038/param.shtml,华为手机,"2240x1080像素, 6.1英寸, 4000mAh, 6GB, 2400万像素, 4000万像素+2000万像素+800万像素, 海思 麒麟 970, ",6.1,1080,2240
2499,oppo r17（8gb ram/移动全网通） ,http://detail.zol.com.cn/1230/1229197/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3500mAh, 8GB, 2500万像素, 1600万像素+500万像素, 高通 骁龙670, ",6.4,1080,2340
2299,mann 8s（全网通） ,http://detail.zol.com.cn/1235/1234072/param.shtml,MANN手机,"1920x1080像素, 5.5英寸, 6000mAh, 6GB, 1600万像素, 双1200万像素, 高通 骁龙653, ",5.5,1080,1920
749,redmi s2（4gb ram/全网通） ,http://detail.zol.com.cn/1214/1213595/param.shtml,红米手机,"1440x720像素, 5.99英寸, 3080mAh, 4GB, 1600万像素, 1200万像素+500万像素, 高通 骁龙625（MSM8953）, ",5.99,720,1440
0,苹果iphone x plus（全网通） ,http://detail.zol.com.cn/1204/1203189/param.shtml,苹果手机,"2160x1080像素, 6.5英寸, 3800mAh, 4GB, 1200万像素, 2400万像素+1200万像素, 苹果 A12, ",6.5,1080,2160
1399,诺基亚x6 2018（6gb ram/全网通） ,http://detail.zol.com.cn/1215/1214180/param.shtml,诺基亚手机,"2280x1080像素, 5.8英寸, 3060mAh, 6GB, 1600, 1600万像素+500万像素, 高通 骁龙636, ",5.8,1080,2280
1000,vivo y81s（全网通） ,http://detail.zol.com.cn/1231/1230193/param.shtml,vivo手机,"1520x720像素, 6.22英寸, 3260mAh, 3GB, 500万像素, 1300万像素, 联发科 MT6762, ",6.22,720,1520
2599,redmi k30（8gb/128gb/全网通/5g版） ,http://detail.zol.com.cn/1305/1304147/param.shtml,红米手机,"2400x1080像素, 6.67英寸, 4500mAh, 8GB, 2000万像素主摄+200万像素人像虚化, 6400万像素主摄+800万像素超广角+500万像素超微距+200万像素景深, 高通 骁龙765G, ",6.67,1080,2400
2699,华为nova 4（标配版/全网通） ,http://detail.zol.com.cn/1242/1241574/param.shtml,华为手机,"2310x1080像素, 6.4英寸, 3750mAh, 8GB, 2500万像素, 2000万像素+1600万像素+200万像素, 海思 麒麟 970, ",6.4,1080,2310
2999,苹果iphone se（全网通） ,http://detail.zol.com.cn/399/398689/param.shtml,苹果手机,"1136x640像素, 4英寸, 1642mAh, 2GB, 120万像素, 1200万像素, 苹果 A9+M9协处理器, ",4.0,640,1136
5699,华为mate 20 x（8gb/256gb/全网通/5g版） ,http://detail.zol.com.cn/1275/1274859/param.shtml,华为手机,"2244x1080像素, 7.2英寸, 4200mAh, 8GB, 2400万像素, 4000万像素+2000万像素+800万像素, 海思 麒麟 980+ Balong 5000, ",7.2,1080,2244
5788,华为p30 pro（8gb/512gb/全网通） ,http://detail.zol.com.cn/1292/1291822/param.shtml,华为手机,"2340x1080像素, 6.47英寸, 4200mAh, 8GB, 3200万像素, 4000万像素+2000万像素+800万像素+TOF镜头, 海思 麒麟 980, ",6.47,1080,2340
3899,一加7 pro（12gb/256gb/全网通） ,http://detail.zol.com.cn/1269/1268038/param.shtml,一加手机,"3120x1440像素, 6.67英寸, 4000mAh, 12GB, 1600万像素, 4800万像素+800万像素长焦摄像头+1600万像素超广角摄像头, 高通 骁龙855, ",6.67,1440,3120
1999,vivo x23（全网通） ,http://detail.zol.com.cn/1228/1227284/param.shtml,vivo手机,"2340x1080像素, 6.41英寸, 3400mAh, 8GB, 1200万像素, 1200万像素+1300万像素, 高通 骁龙670AIE, ",6.41,1080,2340
1999,oppo k5（8gb/128gb/全网通） ,http://detail.zol.com.cn/1296/1295762/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 4000mAh, 8GB, 3200万像素, 6400万像素主摄镜头+800万像素超广角镜头+200万像素黑白人像风格摄像头+200万像素复古人像风格摄像头, 高通 骁龙730G, ",6.4,1080,2340
1399,realme x2（6gb/64gb/全网通） ,http://detail.zol.com.cn/1291/1290286/param.shtml,realme手机,"2340x1080像素, 6.4英寸, 4000mAh, 6GB, 3200万像素, 6400万像素主摄镜头+800万像素广角镜头+微距镜头+人像镜头, 高通 骁龙730G, ",6.4,1080,2340
3199,华为nova 6（8gb/128gb/全网通） ,http://detail.zol.com.cn/1304/1303591/param.shtml,华为手机,"2400x1080像素, 6.57英寸, 4100mAh, 8GB, 3200万像素自动对焦镜头+800万像素广角镜头, 4000万像素主摄镜头+800万像素广角镜头+800万像素长焦镜头, 海思 麒麟 990, ",6.57,1080,2400
999,redmi note 8（4gb/64gb/全网通） ,http://detail.zol.com.cn/1286/1285904/param.shtml,红米手机,"2340x1080像素, 6.3英寸, 4000mAh, 4GB, 1300万像素, 4800万像素主摄像头+800万像素广角镜头+200万像素微距镜头+200万像素景深镜头, 高通 骁龙665, ",6.3,1080,2340
1299,荣耀play3（4gb/128gb/全网通） ,http://detail.zol.com.cn/1292/1291342/param.shtml,荣耀手机,"1560x720像素, 6.39英寸, 4000mAh, 4GB, 800万像素, 4800万像素+800万像素+200万像素, 海思 麒麟 710F, ",6.39,720,1560
699,小米5c（移动4g） ,http://detail.zol.com.cn/1157/1156607/param.shtml,小米手机,"1920x1080像素, 5.15英寸, 2860mAh, 3GB, 800万像素, 1200万像素, 小米松果 澎湃S1, ",5.15,1080,1920
1398,vivo z1i（4gb ram/全网通） ,http://detail.zol.com.cn/1222/1221865/param.shtml,vivo手机,"2280x1080像素, 6.26英寸, 3260mAh, 4GB, 1600万像素, 1300万像素+200万像素, 高通 骁龙636, ",6.26,1080,2280
1899,redmi k30（8gb/128gb/全网通） ,http://detail.zol.com.cn/1305/1304159/param.shtml,红米手机,"2400x1080像素, 6.67英寸, 4500mAh, 8GB, 2000万像素主摄+200万像素人像虚化, 6400万像素主摄+800万像素超广角+200万像素超微距+200万像素景深, 高通 骁龙730G, ",6.67,1080,2400
